,種類,地区名,取引価格（総額）,坪単価,面積（㎡）,取引価格（㎡単価）,建築年,取引時築年数,西暦築年,取引年
6924,中古マンション等,佃,57000000.0,2507999.0,75.0,760000.0,平成3年,27.0,1991.0,2018.0
6923,中古マンション等,佃,56000000.0,3359999.0,55.0,1018181.0,平成17年,13.0,2005.0,2018.0
6252,中古マンション等,佃,58000000.0,2551999.0,75.0,773333.0,平成3年,26.0,1991.0,2017.0
6251,中古マンション等,佃,39000000.0,3217500.0,40.0,975000.0,平成20年,9.0,2008.0,2017.0
6250,中古マンション等,佃,57000000.0,3761999.0,50.0,1140000.0,平成11年,18.0,1999.0,2017.0
6253,中古マンション等,佃,82000000.0,3382500.0,80.0,1025000.0,平成16年,13.0,2004.0,2017.0
6249,中古マンション等,佃,65000000.0,3064285.0,70.0,928571.0,平成14年,15.0,2002.0,2017.0
8375,中古マンション等,佃,94000000.0,3649411.0,85.0,1105882.0,平成16年,16.0,2004.0,2020.0
8373,中古マンション等,佃,63000000.0,3779999.0,55.0,1145454.0,平成18年,14.0,2006.0,2020.0
1420,中古マンション等,佃,7900000.0,1042799.0,25.0,316000.0,昭和48年,36.0,1973.0,2009.0
4246,中古マンション等,佃,58000000.0,2551999.0,75.0,773333.0,平成16年,10.0,2004.0,2014.0
4247,中古マンション等,佃,100000000.0,3473684.0,95.0,1052631.0,平成11年,15.0,1999.0,2014.0
4248,中古マンション等,佃,42000000.0,1979999.0,70.0,600000.0,平成12年,14.0,2000.0,2014.0
4249,中古マンション等,佃,8800000.0,1161599.0,25.0,352000.0,昭和48年,41.0,1973.0,2014.0
8386,中古マンション等,佃,84000000.0,4264615.0,65.0,1292307.0,平成11年,21.0,1999.0,2020.0
8374,中古マンション等,佃,48000000.0,3519999.0,45.0,1066666.0,平成23年,9.0,2011.0,2020.0
8385,中古マンション等,佃,99000000.0,3438947.0,95.0,1042105.0,平成14年,18.0,2002.0,2020.0
8383,中古マンション等,佃,96000000.0,3727058.0,85.0,1129411.0,平成28年,4.0,2016.0,2020.0
8382,中古マンション等,佃,54000000.0,3563999.0,50.0,1080000.0,平成11年,21.0,1999.0,2020.0
8369,中古マンション等,佃,31000000.0,4091999.0,25.0,1240000.0,平成23年,9.0,2011.0,2020.0
8370,中古マンション等,佃,63000000.0,3464999.0,60.0,1050000.0,平成17年,15.0,2005.0,2020.0
8371,中古マンション等,佃,45000000.0,3712500.0,40.0,1125000.0,平成12年,20.0,2000.0,2020.0
8372,中古マンション等,佃,90000000.0,2048275.0,145.0,620689.0,平成5年,27.0,1993.0,2020.0
8384,中古マンション等,佃,77000000.0,3629999.0,70.0,1100000.0,平成22年,10.0,2010.0,2020.0
6248,中古マンション等,佃,60000000.0,3299999.0,60.0,1000000.0,平成14年,15.0,2002.0,2017.0
6922,中古マンション等,佃,53000000.0,3179999.0,55.0,963636.0,平成14年,16.0,2002.0,2018.0
6921,中古マンション等,佃,24000000.0,3960000.0,20.0,1200000.0,平成18年,12.0,2006.0,2018.0
583,中古マンション等,佃,44000000.0,3226666.0,45.0,977777.0,平成16年,3.0,2004.0,2007.0
584,中古マンション等,佃,130000000.0,4289999.0,100.0,1300000.0,平成5年,14.0,1993.0,2007.0
585,中古マンション等,佃,62000000.0,3719999.0,55.0,1127272.0,平成3年,16.0,1991.0,2007.0
586,中古マンション等,佃,64000000.0,3249230.0,65.0,984615.0,平成16年,3.0,2004.0,2007.0
587,中古マンション等,佃,82000000.0,3183529.0,85.0,964705.0,平成16年,3.0,2004.0,2007.0
588,中古マンション等,佃,32000000.0,3017142.0,35.0,914285.0,平成14年,5.0,2002.0,2007.0
582,中古マンション等,佃,58000000.0,2734285.0,70.0,828571.0,平成5年,14.0,1993.0,2007.0
589,中古マンション等,佃,39000000.0,3217500.0,40.0,975000.0,平成16年,3.0,2004.0,2007.0
6915,中古マンション等,佃,120000000.0,3959999.0,100.0,1200000.0,平成5年,25.0,1993.0,2018.0
6914,中古マンション等,佃,49000000.0,2939999.0,55.0,890909.0,平成13年,17.0,2001.0,2018.0
6913,中古マンション等,佃,59000000.0,2995384.0,65.0,907692.0,平成14年,16.0,2002.0,2018.0
6912,中古マンション等,佃,70000000.0,3299999.0,70.0,1000000.0,平成5年,25.0,1993.0,2018.0
6911,中古マンション等,佃,110000000.0,3821052.0,95.0,1157894.0,平成5年,25.0,1993.0,2018.0
6246,中古マンション等,佃,53000000.0,3497999.0,50.0,1060000.0,平成11年,18.0,1999.0,2017.0
590,中古マンション等,佃,69000000.0,3035999.0,75.0,920000.0,平成16年,3.0,2004.0,2007.0
581,中古マンション等,佃,54000000.0,2741538.0,65.0,830769.0,平成16年,3.0,2004.0,2007.0
580,中古マンション等,佃,30000000.0,3299999.0,30.0,1000000.0,平成16年,3.0,2004.0,2007.0
579,中古マンション等,佃,76000000.0,2950588.0,85.0,894117.0,平成17年,2.0,2005.0,2007.0
6920,中古マンション等,佃,31000000.0,2922857.0,35.0,885714.0,平成3年,27.0,1991.0,2018.0
6919,中古マンション等,佃,59000000.0,3539999.0,55.0,1072727.0,平成11年,19.0,1999.0,2018.0
6918,中古マンション等,佃,25000000.0,4125000.0,20.0,1250000.0,平成16年,14.0,2004.0,2018.0
6917,中古マンション等,佃,43000000.0,3547500.0,40.0,1075000.0,平成23年,7.0,2011.0,2018.0
6916,中古マンション等,佃,82000000.0,2705999.0,100.0,820000.0,平成3年,27.0,1991.0,2018.0
569,中古マンション等,佃,43000000.0,2837999.0,50.0,860000.0,平成18年,1.0,2006.0,2007.0
570,中古マンション等,佃,130000000.0,4289999.0,100.0,1300000.0,平成16年,3.0,2004.0,2007.0
6247,中古マンション等,佃,78000000.0,3677142.0,70.0,1114285.0,平成28年,1.0,2016.0,2017.0
572,中古マンション等,佃,9800000.0,1293599.0,25.0,392000.0,昭和48年,34.0,1973.0,2007.0
573,中古マンション等,佃,8000000.0,1055999.0,25.0,320000.0,昭和48年,34.0,1973.0,2007.0
574,中古マンション等,佃,70000000.0,3079999.0,75.0,933333.0,平成3年,16.0,1991.0,2007.0
575,中古マンション等,佃,89000000.0,3915999.0,75.0,1186666.0,平成3年,16.0,1991.0,2007.0
576,中古マンション等,佃,9400000.0,1240799.0,25.0,376000.0,昭和48年,34.0,1973.0,2007.0
577,中古マンション等,佃,49000000.0,3233999.0,50.0,980000.0,平成16年,3.0,2004.0,2007.0
578,中古マンション等,佃,40000000.0,2399999.0,55.0,727272.0,平成12年,7.0,2000.0,2007.0
4243,中古マンション等,佃,44000000.0,2639999.0,55.0,800000.0,平成18年,8.0,2006.0,2014.0
3049,中古マンション等,佃,35000000.0,2099999.0,55.0,636363.0,平成12年,12.0,2000.0,2012.0
571,中古マンション等,佃,49000000.0,2939999.0,55.0,890909.0,平成18年,1.0,2006.0,2007.0
3051,中古マンション等,佃,65000000.0,2859999.0,75.0,866666.0,平成16年,8.0,2004.0,2012.0
4800,中古マンション等,佃,62000000.0,3147692.0,65.0,953846.0,平成16年,11.0,2004.0,2015.0
4801,中古マンション等,佃,56000000.0,2463999.0,75.0,746666.0,平成3年,24.0,1991.0,2015.0
4802,中古マンション等,佃,120000000.0,3771428.0,105.0,1142857.0,平成11年,16.0,1999.0,2015.0
1048,中古マンション等,佃,81000000.0,2969999.0,90.0,900000.0,平成5年,15.0,1993.0,2008.0
1049,中古マンション等,佃,140000000.0,4199999.0,110.0,1272727.0,平成3年,17.0,1991.0,2008.0
1050,中古マンション等,佃,170000000.0,5342857.0,105.0,1619047.0,平成11年,9.0,1999.0,2008.0
1051,中古マンション等,佃,170000000.0,3868965.0,145.0,1172413.0,平成5年,15.0,1993.0,2008.0
1052,中古マンション等,佃,56000000.0,2843076.0,65.0,861538.0,平成16年,4.0,2004.0,2008.0
1053,中古マンション等,佃,170000000.0,5342857.0,105.0,1619047.0,平成11年,9.0,1999.0,2008.0
1054,中古マンション等,佃,95000000.0,3918750.0,80.0,1187500.0,平成5年,15.0,1993.0,2008.0
1055,中古マンション等,佃,9000000.0,1187999.0,25.0,360000.0,昭和48年,35.0,1973.0,2008.0
1056,中古マンション等,佃,68000000.0,2991999.0,75.0,906666.0,平成16年,4.0,2004.0,2008.0
1057,中古マンション等,佃,38000000.0,2507999.0,50.0,760000.0,平成16年,4.0,2004.0,2008.0
7604,中古マンション等,佃,31000000.0,2922857.0,35.0,885714.0,平成3年,28.0,1991.0,2019.0
4799,中古マンション等,佃,86000000.0,3783999.0,75.0,1146666.0,平成11年,16.0,1999.0,2015.0
7603,中古マンション等,佃,48000000.0,2879999.0,55.0,872727.0,平成3年,28.0,1991.0,2019.0
7601,中古マンション等,佃,32000000.0,4223999.0,25.0,1280000.0,平成23年,8.0,2011.0,2019.0
7600,中古マンション等,佃,65000000.0,3064285.0,70.0,928571.0,平成14年,17.0,2002.0,2019.0
7599,中古マンション等,佃,58000000.0,3479999.0,55.0,1054545.0,平成17年,14.0,2005.0,2019.0
7598,中古マンション等,佃,130000000.0,4766666.0,90.0,1444444.0,平成11年,20.0,1999.0,2019.0
7597,中古マンション等,佃,38000000.0,3582857.0,35.0,1085714.0,平成14年,17.0,2002.0,2019.0
7596,中古マンション等,佃,120000000.0,3771428.0,105.0,1142857.0,平成5年,26.0,1993.0,2019.0
7595,中古マンション等,佃,71000000.0,3347142.0,70.0,1014285.0,平成16年,15.0,2004.0,2019.0
1058,中古マンション等,佃,9300000.0,1227599.0,25.0,372000.0,昭和48年,35.0,1973.0,2008.0
7594,中古マンション等,佃,57000000.0,3419999.0,55.0,1036363.0,平成3年,28.0,1991.0,2019.0
7593,中古マンション等,佃,57000000.0,3419999.0,55.0,1036363.0,平成18年,13.0,2006.0,2019.0
7592,中古マンション等,佃,82000000.0,3607999.0,75.0,1093333.0,平成11年,20.0,1999.0,2019.0
7591,中古マンション等,佃,110000000.0,3457142.0,105.0,1047619.0,平成5年,26.0,1993.0,2019.0
7590,中古マンション等,佃,43000000.0,3547500.0,40.0,1075000.0,平成23年,8.0,2011.0,2019.0
7589,中古マンション等,佃,57000000.0,3419999.0,55.0,1036363.0,平成23年,8.0,2011.0,2019.0
7602,中古マンション等,佃,16000000.0,2111999.0,25.0,640000.0,昭和48年,46.0,1973.0,2019.0
7588,中古マンション等,佃,47000000.0,3877500.0,40.0,1175000.0,平成25年,6.0,2013.0,2019.0
4798,中古マンション等,佃,40000000.0,3300000.0,40.0,1000000.0,平成23年,4.0,2011.0,2015.0
4796,中古マンション等,佃,59000000.0,2995384.0,65.0,907692.0,平成16年,11.0,2004.0,2015.0
4820,中古マンション等,佃,78000000.0,3677142.0,70.0,1114285.0,平成11年,16.0,1999.0,2015.0
4785,中古マンション等,佃,110000000.0,3457142.0,105.0,1047619.0,平成11年,16.0,1999.0,2015.0
4786,中古マンション等,佃,48000000.0,3167999.0,50.0,960000.0,平成18年,9.0,2006.0,2015.0
4787,中古マンション等,佃,88000000.0,3630000.0,80.0,1100000.0,平成11年,16.0,1999.0,2015.0
4788,中古マンション等,佃,120000000.0,4950000.0,80.0,1500000.0,平成11年,16.0,1999.0,2015.0
4789,中古マンション等,佃,9800000.0,1293599.0,25.0,392000.0,昭和48年,42.0,1973.0,2015.0
4790,中古マンション等,佃,20000000.0,3300000.0,20.0,1000000.0,平成16年,11.0,2004.0,2015.0
4791,中古マンション等,佃,52000000.0,3119999.0,55.0,945454.0,平成23年,4.0,2011.0,2015.0
4819,中古マンション等,佃,75000000.0,3807692.0,65.0,1153846.0,平成11年,16.0,1999.0,2015.0
4818,中古マンション等,佃,33000000.0,3111428.0,35.0,942857.0,平成16年,11.0,2004.0,2015.0
4817,中古マンション等,佃,65000000.0,2859999.0,75.0,866666.0,平成14年,13.0,2002.0,2015.0
4816,中古マンション等,佃,110000000.0,4270588.0,85.0,1294117.0,平成11年,16.0,1999.0,2015.0
